Category: All categories

Week,rootbeer: (United States)
2020-01-05,54
2020-01-12,60
2020-01-19,53
2020-01-26,57
2020-02-02,58
2020-02-09,62
2020-02-16,69
2020-02-23,58
2020-03-01,59
2020-03-08,48
2020-03-15,42
2020-03-22,57
2020-03-29,62
2020-04-05,64
2020-04-12,63
2020-04-19,64
2020-04-26,75
2020-05-03,76
2020-05-10,65
2020-05-17,72
2020-05-24,71
2020-05-31,75
2020-06-07,78
2020-06-14,94
2020-06-21,96
2020-06-28,92
2020-07-05,100
2020-07-12,81
2020-07-19,88
2020-07-26,85
2020-08-02,91
2020-08-09,75
2020-08-16,81
2020-08-23,84
2020-08-30,91
2020-09-06,64
2020-09-13,67
2020-09-20,57
2020-09-27,69
2020-10-04,65
2020-10-11,57
2020-10-18,52
2020-10-25,60
2020-11-01,43
2020-11-08,55
2020-11-15,62
2020-11-22,69
2020-11-29,56
2020-12-06,63
2020-12-13,68
2020-12-20,68
2020-12-27,64
